Date,cci_30,relative_strength_index_14,sma_12,sma_26,stochastic_oscillator
2013-01-10,144.1623735,69.32561018,361.3859713,356.18791919999995,92.81637314
2013-01-11,131.5018557,67.90768048,362.6576591,357.1303994,89.77550047
2013-01-14,78.76975759999999,54.43673548,363.2574262,357.8124285,55.61230061
2013-01-15,51.07259135,55.39307124,364.03486910000004,358.4630786,59.04078965
2013-01-16,19.78813374,48.974857899999996,364.668002,359.0594437,39.16321087
2013-01-17,-1.569586284,46.66146352,364.8323341,359.5580199,31.26531478
2013-01-18,-45.73162585,42.82768667,364.05071780000003,359.7048975,17.36731007
2013-01-22,-75.88193143,41.93413057,363.18318189999997,359.807115,14.85449229
2013-01-23,135.8257085,62.02974333,363.3304139,360.5540162,85.97607445
2013-01-24,169.11284530000003,66.17731087,364.14205939999994,361.5598298,95.7266414
2013-01-25,173.50771619999998,65.84821916,364.9916586,362.1929628,92.36022643
2013-01-28,145.761905,63.9826274,365.51760110000004,362.7639185,87.69061591
2013-01-29,137.04352580000003,65.05253825,366.0264435,363.4101423,92.3761095
2013-01-30,140.4415745,65.10929126,366.60368860000005,364.0159408,89.11813604
2013-01-31,121.93956419999999,65.84989755,367.9567082,364.7870966,91.96089126
2013-02-01,170.855762,72.56337549,370.07007339999996,366.0595235,98.76668153
2013-02-04,127.2167528,61.68777755,371.89815269999997,367.02491180000004,78.31772411
2013-02-05,126.6526095,64.04023866,374.1679229,368.1693257,86.60585255
2013-02-06,123.33911090000002,65.54229072,376.90649410000003,369.51990689999997,92.06953264
2013-02-07,133.34511799999999,66.81602083,379.8711268,370.8013811,94.16496487
2013-02-08,158.57082140000003,70.37849928,381.7008718,371.9971913,98.57374851
2013-02-11,133.7848764,68.33758967,382.87746430000004,373.1281293,91.64697398
2013-02-12,133.2568713,67.11553944,384.0048421,373.9506836,84.80701442
2013-02-13,124.56933159999998,67.89205811,385.34493,374.8768017,87.81430604
2013-02-14,122.25559609999999,69.66358833,386.7688523,375.9263118,97.81981309999999
2013-02-15,133.4856074,71.40060338,388.3979798,376.9806343,99.20793359999999
2013-02-19,157.20691399999998,75.55160529,390.53177900000003,378.2390078,99.73569021
2013-02-20,129.1065573,65.06773846,391.2349803,379.2490563,71.88348658
2013-02-21,117.69429609999999,66.14704019,392.7577539,380.6404477,73.57974427
2013-02-22,110.9208929,67.61421668,394.17458589999995,382.0799642,81.73565726
2013-02-25,98.73459265,61.4773171,395.03378030000005,383.5348815,63.93899681
2013-02-26,76.18761968,61.05009186,395.7086206,385.0519749,62.67082667
2013-02-27,93.89201573,64.99938458,396.3096388,386.88592400000005,78.85892398
2013-02-28,101.09629059999999,65.55288656,397.0929233,388.7787792,77.93868431
2013-03-01,96.67283978,67.49798946,398.1560693,390.024063,92.10677559
2013-03-04,130.0470919,72.60850246,399.76768219999997,391.31939689999996,97.02691652
2013-03-05,182.5856523,76.96509412,401.88563519999997,392.954301,97.51529264
2013-03-06,176.3735061,71.77438758,403.4909922,394.50681480000003,80.94520653
2013-03-07,157.6909187,72.11658322,404.564982,396.0260256,80.87244133
2013-03-08,138.4315926,71.29258872,406.19411210000004,397.5215595,79.06040644
2013-03-11,143.29168130000002,72.332837,407.8328323,399.04481269999997,84.59728606
2013-03-12,110.9755712,66.65015814,408.9964956,400.04600519999997,72.49996095
2013-03-13,99.92931333,64.89857523,410.4371007,401.3220883,68.64089153
2013-03-14,81.17898452,62.02141118,411.7471619,402.39623900000004,62.31544232
2013-03-15,55.42685743,56.81236408,412.352768,403.2457428,50.16778169
2013-03-18,21.31452054,52.53939296,412.62762460000005,403.8971628,31.53708223
2013-03-19,35.34538292,54.5361914,412.8415884,404.3967015,31.70323919
2013-03-20,39.06332799,56.43190075,412.5583878,405.0182847,38.78783131
2013-03-21,26.89260185,53.96570298,411.4180807,405.606565,23.01905664
2013-03-22,18.44903569,53.27524423,410.5392838,406.134978,20.7852521
2013-03-25,15.68045137,52.76255537,409.58166,406.55501380000004,19.20993259
2013-03-26,8.97672608,54.71012919,408.7850292,406.9309669,28.64238109
2013-03-27,-35.61453929,47.33189456,407.4436875,406.85030889999996,3.466164915
2013-03-28,-73.71272653,42.03401218,406.04979460000004,406.88361180000004,1.9180598919999998
2013-04-01,-72.25017156,47.28547142,405.0437903,406.9925667,20.54863859
2013-04-02,-8.149253709,54.75779137,404.68927010000004,407.2491702,52.85791643
2013-04-03,-31.53732544,50.32355115,404.35143289999996,407.5461978,38.38174639
2013-04-04,-91.60828325,44.0698262,403.8209026,407.64129289999994,12.99990713
2013-04-05,-175.5889451,38.50473308,402.64180760000005,407.3192409,15.51930225
2013-04-08,-202.57459,35.23574907,400.9793117,406.8120024,12.68429987
2013-04-09,-167.9121197,37.19643691,399.5774918,406.2626062,18.19783778
2013-04-10,-123.69924879999999,45.1927514,398.7379024,405.659695,42.84864457
2013-04-11,-103.6203393,45.31840844,397.93501539999994,404.7316508,43.2617744
2013-04-12,-101.0464074,45.13796658,397.00199889999993,403.93604689999995,42.59289417
2013-04-15,-107.63921210000001,40.94487992,396.1373851,402.9606488,29.14060974
2013-04-16,-75.05606107,48.24014931,396.103185,402.22626089999994,53.77992376
2013-04-17,-99.85288053,42.85309841,395.3261566,401.2202548,30.49745635
2013-04-18,-144.6205207,36.155913500000004,393.3604405,400.0325294,8.680249642
2013-04-19,-56.99986472,52.47150577,393.0964253,399.5428091,72.07390567
2013-04-22,-38.67068745,52.563765000000004,393.3066354,399.1302807,73.38491627
2013-04-23,38.37902407,55.57799091,394.34308619999996,399.00708010000005,85.98809761
2013-04-24,69.76342784,57.64305883,395.9530308,399.116036,91.98094809
2013-04-25,64.00020823,55.46661872,397.2647602,399.07330079999997,84.31437369
2013-04-26,18.76679002,51.75146238,397.7335637,398.8174685,70.77896306
2013-04-29,94.10588421,58.60907245,398.92934410000004,398.9676185,94.07556217
2013-04-30,133.45853359999998,60.49770676,400.36911769999995,399.2421241,95.37513313
2013-05-01,113.945788,58.34360555,401.97489160000003,399.44983260000004,89.13837181
2013-05-02,145.4832239,61.60796247,403.4864018,399.78074060000006,93.25965003
2013-05-03,203.07610480000002,66.56038442,406.1207047,400.6096473,98.73746418
2013-05-06,238.52295809999998,70.57676977,410.10969289999997,401.90632860000005,99.70176583
2013-05-07,209.8160904,68.17041464,412.5020854,402.98509920000004,93.52887473
2013-05-08,213.72200619999998,72.06444345,415.5684866,404.1514575,99.76770696
2013-05-09,202.15766169999998,70.84086384,418.22030639999997,405.4080986,92.18423155
2013-05-10,187.5161229,72.86046133,421.0055898,407.04743019999995,99.63071278
2013-05-13,164.283619,71.22122795,423.85969289999997,408.866171,94.24845450000001
2013-05-14,157.609872,73.49723759999999,427.4332657,411.0269857,98.27377890000001
2013-05-15,183.9532685,78.90280153,431.4718882,413.6881092,99.5909954
2013-05-16,161.5677877,72.27477705,434.779363,415.8766444,86.22843289
2013-05-17,142.7933504,73.34020054,438.48097989999997,418.16335469999996,89.57731856
2013-05-20,134.3086288,72.97055296,441.7726058999999,420.4440977,88.42094388
2013-05-21,113.55358700000001,72.03215724,444.32724249999995,422.85112000000004,86.57800926
2013-05-22,89.70234491,62.32231193,445.4896545,424.7000838000001,63.144172499999996
2013-05-23,64.22346399,59.08216512,446.55572,426.6295131,47.73285841
2013-05-24,47.7044647,54.70711869,446.54279069999995,428.69715769999993,32.38952571
2013-05-28,60.50846542,57.54907120000001,446.9511159,430.2641097,41.89685337
2013-05-29,32.99593041,51.83870707,446.45395410000003,431.5769618,7.139090714
2013-05-30,32.91073536,52.79234611,446.17159019999997,432.78701900000004,11.49000236
2013-05-31,28.86862592,52.980593799999994,445.5092621,433.8990925,12.30688981
2013-06-03,11.61218414,51.262479,443.4964142,435.02579560000004,19.22840573
2013-06-04,-3.1719143489999997,47.33468493,441.62913,436.1361365,7.560494812000001
2013-06-05,-5.9912778929999995,47.63859006,439.56539910000004,436.91845700000005,8.462321361
2013-06-06,-18.50675965,50.18732357,437.73481739999994,437.6898052,23.73942957
2013-06-07,21.55783857,57.06267221,436.5986811000001,438.8313305,44.30360098
2013-06-10,55.50085636,61.08386634,436.632047,439.9980738,66.7287078
2013-06-11,33.86222903,55.52636847,436.5077565,440.6543062,52.48831255
2013-06-12,4.181141093,51.71513,436.4518661,440.8550837,55.12022404
2013-06-13,-12.02220175,53.89985188,436.27377060000003,441.2356567,66.29564448
2013-06-14,-1.901032514,52.89355156,436.5544662,441.26279860000005,61.93230525
2013-06-17,26.58511662,57.75181285,437.2005284,441.5471215,89.15029195
2013-06-18,84.28860784,63.01725418,438.4267553,441.93963030000003,99.29343728
2013-06-19,109.5083709,63.03796734,439.805219,442.3852692,84.03019384
2013-06-20,34.57562734,54.33159341,440.8746211,442.339839,58.97513267
2013-06-21,-12.77382253,52.46636188,441.7600912,441.66685830000006,52.98650286
2013-06-24,-73.7285822,47.34799194,441.9748891,441.01081730000004,35.47624325
2013-06-25,-69.21936853,45.7974575,441.41057580000006,440.1834517,29.83340985
2013-06-26,-45.61906301,49.49381756,440.7194697,439.51201100000003,21.85331035
2013-06-27,-13.0610587,51.14103393,440.60518899999994,438.93643539999994,29.03964962
2013-06-28,-12.21761376,52.74264158,440.9551239,438.76222350000006,35.97396546
2013-07-01,54.62302568,56.25684733,441.40891270000003,438.8602072,51.75458966
2013-07-02,32.19911786,53.10272731,441.71213279999995,439.0332641,40.05035179
2013-07-03,50.04355727,55.10766293,441.71964010000005,439.13259419999997,48.70767931
2013-07-05,111.88654820000001,58.39040576,441.422259,439.6173095,63.54275277
2013-07-08,178.6229594,63.15745937,441.606191,440.27816179999996,87.91754015
2013-07-09,175.14301530000003,63.21614358,442.4612122,440.93304680000006,84.48681035
2013-07-10,160.72022859999998,63.52897571,443.50642400000004,441.6714783,85.99595142
2013-07-11,201.5079846,68.93456921,445.610611,442.8484239,99.0096466
2013-07-12,196.48919080000002,69.86618840000001,447.9796473,444.06695089999994,100.0
2013-07-15,184.24632169999998,70.45051265,450.10844169999996,445.22291449999994,94.78651639
