Date,cci_30,relative_strength_index_14,sma_12,sma_26,stochastic_oscillator
2016-03-08,-9.96213385,49.64362831,48.86041058,48.45305596,51.78576849
2016-03-09,60.11094595,55.15665573,48.87533533,48.39940388,94.28571224
2016-03-10,27.4023427,51.15285326,48.9436705,48.37866146,66.07138074
2016-03-11,75.33238416,55.63111368,49.07798475,48.42513092,100.0
2016-03-14,101.88784059999999,56.05645971,49.16202992,48.48098427,87.61055682
2016-03-15,121.3709777,57.88269819,49.34190025,48.6182915,100.0
2016-03-16,171.82003319999998,61.03813633,49.61445533,48.810146,93.78108834
2016-03-17,183.43140400000001,62.27951813,49.77783083,49.01791727,92.30768883
2016-03-18,134.14015039999998,55.13891582,49.82024575,49.16779642,65.83713386
2016-03-21,102.65590209999999,56.82481768,49.938851,49.33180904,74.20815575
2016-03-22,119.6544983,57.79424454,50.09908517,49.47427946,78.9592665
2016-03-23,116.8040419,57.13636274,50.33001133,49.57868554,76.69684466
2016-03-24,116.3441878,58.36147965,50.53108917,49.64357692,82.12666612
2016-03-28,86.91766223,53.74339868,50.58607133,49.69251746,66.81821963
2016-03-29,120.85810330000001,59.73517245,50.79500358,49.79728592,92.44789062
2016-03-30,164.9689959,61.30384300000001,50.95052433,49.88429096,86.8303542
2016-03-31,149.0225885,62.1446929,51.11232917,50.03111177,87.42333584
2016-04-01,135.1333293,63.74712885,51.26785117,50.18373312,97.67445028
2016-04-04,130.1945538,62.57258743,51.35268142,50.30445288,92.12328228
2016-04-05,89.8179204,55.70398421,51.34482733,50.42263473,59.70699634
2016-04-06,87.44806855,58.8361539,51.47285717,50.57634327,80.21974359
2016-04-07,66.49867902,53.99058138,51.51998425,50.64449692,56.04391941
2016-04-08,70.66216997,53.701933,51.5474755,50.6977875,54.57868132
2016-04-11,62.13404182,52.86490467,51.57418125,50.76884181,42.06007902
2016-04-12,46.42878642,55.18985479999999,51.60874142,50.86382235,56.65240914
2016-04-13,97.06611441,59.60737464,51.75090942,51.02043135,86.69518171
2016-04-14,99.60550176,59.668572899999994,51.801965,51.15492642,87.12449539
2016-04-15,110.33060320000001,61.48989293,51.84909308,51.25679454,89.06897458
2016-04-18,140.2641617,66.0954057,51.94570533,51.41666631,95.40632833
2016-04-19,150.3967619,65.36776615,52.01011267,51.53702292,87.37539045
2016-04-20,115.99985819999999,57.568558499999995,52.02267992,51.62475288,60.79736824
2016-04-21,106.77805900000001,58.82505210000001,52.11850575,51.70414496,67.10962318
2016-04-22,-240.33036710000002,35.19532677,51.85616208,51.61097715,16.83331667
2016-04-25,-204.73809550000001,37.42844153,51.67157875,51.51853442,22.33335
2016-04-26,-212.19926370000002,34.806044799999995,51.43751208,51.44421812,11.16665
2016-04-27,-231.10808319999998,32.9505647,51.17281117,51.33836188,6.270095455
2016-04-28,-243.04622149999997,29.43565899,50.79971692,51.18719085,4.715687201000001
2016-04-29,-216.83444,29.33843308,50.369284,51.03855719,7.0080978410000005
2016-05-02,-163.59679309999999,35.03802745,49.99618975,50.90804977,16.98116793
2016-05-03,-160.0380276,31.92735004,49.5351235,50.77174169,5.795160162999999
2016-05-04,-144.194849,32.62584093,49.01750375,50.59628177,7.0080978410000005
2016-05-05,-121.40653490000001,33.20001864,48.51088175,50.41103404,7.951493814
2016-05-06,-104.7919515,36.92118943,48.10244142,50.23557392,14.01618221
2016-05-09,-93.13809779,35.41055613,47.65394333,50.0361875,10.06995523
2016-05-10,-71.15228446,42.88227502,47.59424867,49.87631588,24.27327783
2016-05-11,-52.19561382,43.10605473,47.51098975,49.74907092,55.19480182
2016-05-12,-45.03971266,46.56382331,47.51648733,49.61820127,72.0
2016-05-13,-43.7843025,43.87920427,47.52748383,49.49566938,57.6668
2016-05-16,-36.11069379,49.36299653,47.67907833,49.40177677,95.01927394
2016-05-17,-48.92007653,43.46723358,47.75709717,49.27682608,44.44442742
2016-05-18,-49.91193249,45.65181372,47.80072083,49.15050181,55.93879083
2016-05-19,-62.69730176,42.7462993,47.87078058,48.980913,34.400040000000004
2016-05-20,-44.19957177,45.05207313,47.95749975,48.82191319,46.4
2016-05-23,-59.45926462,41.51133868,47.99205392,48.63086212,22.8
2016-05-24,-21.94661635,52.20692513,48.11465258,48.46739573,83.91307996
2016-05-25,17.2177297,55.20403544,48.30430592,48.32581515,86.92569829
2016-05-26,6.570765842999999,53.63219064,48.40114808,48.20483965,77.52799436
2016-05-27,33.04896306,56.14619439,48.5296455,48.09267388,93.63288866
2016-05-31,75.27780884,59.85319485,48.67579617,48.15034008,100.0
2016-06-01,96.90738736,58.67497062,48.84385775,48.19056738,95.28295597
2016-06-02,89.44255455,55.7592057,48.9237445,48.24157635,83.64779874
2016-06-03,79.08573179,50.69927116,49.02498717,48.28552269,61.94971698
2016-06-06,91.06177195,52.96428535,49.12939317,48.37958315,72.64154088
2016-06-07,103.72748440000001,52.73399338,49.27018317,48.47363569,71.69805031
2016-06-08,83.75854596,52.24490589,49.382498999999996,48.53867131,69.8113522
2016-06-09,47.43160464,48.83065715,49.50826067,48.61846388,54.30460265
2016-06-10,30.025091800000002,47.71138532,49.49955933,48.68988292,49.66887417
2016-06-13,-100.4096642,38.59312468,49.34294983,48.70984658,27.41112371
2016-06-14,-108.5057862,36.83912039,49.18001358,48.70218065,19.54317755
