Date,stochastic_oscillator,relative_strength_index_14,sma_12,sma_26,cci_30
2006-06-06,13.606268748358694,34.56594877089857,5.974394583333335,6.3240310769230765,-125.00425917095758
2006-06-07,2.654867256637267,32.03927140862376,5.926794666666666,6.2832680384615385,-124.11615220954788
2006-06-08,44.900489390729774,40.867559302732154,5.905834666666666,6.243169653846154,-109.3312050709353
2006-06-09,25.994997261814955,37.265672664804825,5.8745547500000015,6.199231307692309,-92.97985276770851
2006-06-12,0.48608760293747916,32.692721873014904,5.8238347500000005,6.147059038461539,-120.42450852025569
2006-06-13,18.026294217445884,37.58972044678592,5.775834916666667,6.096991384615385,-110.30263244337435
2006-06-14,11.689918481523778,36.06017860632316,5.728314999999999,6.0442652692307695,-114.94420246073679
2006-06-15,34.180390203551596,42.27826944378968,5.713594999999999,6.001249961538462,-96.45004061084724
2006-06-16,13.161810258555452,38.167999614555356,5.695914916666666,5.95310226923077,-97.8769028063569
2006-06-19,7.956305134572488,37.393624413466135,5.656154916666666,5.912671576923078,-104.70602828967986
2006-06-20,12.168428133674942,38.40303959554747,5.622634916666666,5.87489926923077,-95.84922735983344
2006-06-21,18.252751404914576,39.91016505752888,5.605515083333334,5.838234730769232,-87.52919843120448
2006-06-22,59.34291964801622,46.16597957895201,5.6043951666666665,5.818296346153845,-59.40987926985805
2006-06-23,43.94233837467688,44.01416482152695,5.606555083333332,5.794554807692307,-50.57581095307525
2006-06-26,47.227883871820744,44.60735579800354,5.592395083333333,5.779084076923078,-58.550121125679674
2006-06-27,15.195037041082852,40.141838650751744,5.577915083333334,5.752942615384616,-75.96089007110534
2006-06-28,9.918708995961659,36.577607342846875,5.570075083333332,5.7257672307692316,-126.08630510321474
2006-06-29,74.78989001486764,47.150563393808454,5.57519525,5.710333461538463,-68.43971300205816
2006-06-30,39.07567782988544,42.72983768061208,5.572475416666666,5.687921230769232,-94.21799431859993
2006-07-03,53.3612450569927,44.95303536525379,5.5610355,5.664364423076924,-68.93322104712121
2006-07-05,33.40348028899958,42.47237663354071,5.556555583333332,5.640179846153846,-93.4880989336778
2006-07-06,7.563077113121723,39.437903820033064,5.545115583333334,5.62005676923077,-119.65225564086107
2006-07-07,13.27275157022585,38.54576055229771,5.528555583333333,5.603921384615385,-144.94734905761254
2006-07-10,8.818384174834257,37.556637259344924,5.5056755,5.57744753846154,-149.67273058863756
2006-07-11,20.28219718247267,40.24025464583873,5.474235416666667,5.555256769230771,-148.25777234395514
2006-07-12,0.5516961712440406,33.7716761213355,5.4272755833333335,5.529263000000001,-212.5505695377404
2006-07-13,9.58911005809356,32.29600567118311,5.373355666666666,5.5016815,-236.11855802424992
2006-07-14,5.629204055363348,29.23460431620589,5.319275583333333,5.472549192307691,-252.17410919028748
2006-07-17,24.39298578521277,36.23797644368614,5.290075583333333,5.4415707307692305,-184.18063309974147
2006-07-18,30.68313117203376,38.28849650701773,5.241515416666666,5.418161461538461,-147.29258820061588
2006-07-19,44.120939332797185,42.775704647558754,5.216155333333333,5.407453807692307,-102.5328710731408
2006-07-20,90.4637145422321,59.63373638927854,5.236555166666666,5.415466076923077,128.1578588667135
2006-07-21,92.38843794132742,60.06921126738187,5.266315083333333,5.426949115384616,120.79546680681669
2006-07-24,94.30484829226945,61.492659442245504,5.311514916666666,5.434481346153845,144.87491383863158
2006-07-25,98.57625604292392,62.54043591635849,5.363754833333334,5.45061673076923,143.24265670329385
2006-07-26,94.68236768281098,66.29707971126567,5.43471475,5.475244384615385,182.3770769481857
2006-07-27,89.09827652074534,64.60669328229946,5.49671475,5.4971397692307695,176.32297265835442
2006-07-28,99.42010957344645,68.62148062032057,5.597754583333333,5.525681230769232,184.58631882731476
2006-07-31,96.37246965404019,72.28536343069743,5.723434416666667,5.556622692307693,220.06397693507986
2006-08-01,92.14942779655054,69.4127733025477,5.855514416666668,5.5874535000000005,179.31835113805985
2006-08-02,97.19221458093563,70.97352880880592,5.981834333333334,5.621311923076922,175.73086294633183
2006-08-03,97.76564528951397,73.12823042995836,6.115354166666667,5.666210269230768,169.72515447615586
2006-08-04,90.6336138090145,68.20925961540014,6.228953999999999,5.711551769230768,123.64022331793193
2006-08-07,84.18369047619045,64.27505779392482,6.282633999999999,5.741976269230769,119.66182110637719
2006-08-08,49.61391891891896,56.45705251036382,6.315114000000001,5.769705384615384,80.8860265309191
2006-08-09,38.127432432432485,53.05381932531201,6.332474166666667,5.790529961538462,59.035782973208725
2006-08-10,38.035523716246225,54.25172215989062,6.349594166666666,5.816634538461537,49.73768451212666
2006-08-11,31.127926981297442,52.977934700727104,6.347834333333332,5.845729961538461,41.649334944895976
2006-08-14,27.16345931374739,53.784783514738706,6.352154249999999,5.877262230769231,50.31754954310428
2006-08-15,52.15632075471708,60.15755130690083,6.3590342500000006,5.919539115384615,67.34053121380457
2006-08-16,72.77632075471689,63.464731082432785,6.359194249999999,5.965065230769231,83.237859418878
2006-08-17,67.52018867924527,62.05083570071445,6.362474166666666,6.0190836153846154,84.38135508567309
2006-08-18,71.83283018867925,62.78349920767199,6.36047425,6.076905115384614,80.23959663497838
2006-08-21,53.63886792452841,57.720654253521175,6.3362342499999995,6.135575807692307,61.15716509493097
2006-08-22,67.92452830188682,60.419513971977075,6.330794166666666,6.191883423076923,69.42306294360198
2006-08-23,67.37889848702264,59.22875148858315,6.331594083333333,6.2450895,70.76093715059221
